date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:12	159367/159367	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202019%2008:37:03%20GMT	https://demo.hasthemes.com/brook-preview/index-design-studio.html	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/index-design-studio.html	(from )
14:35:13	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2026%20Aug%202019%2007:35:11%20GMT	https://demo.hasthemes.com/robots.txt		(from )
14:35:13	1150/1150	---M--	200	added ('OK')	application/octet-stream	etag:%229c9a750812bab056b475fb9cc078f51e%22	https://demo.hasthemes.com/brook-preview/img/favicon.ico	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/img/favicon.ico	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:13	4029/4029	---M--	200	added ('OK')	image/png	etag:%227676155efec287aaaa1b78ea9a79120d%22	https://demo.hasthemes.com/brook-preview/img/icon.png	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/img/icon.png	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:13	140885/140885	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Aug%202019%2012:03:47%20GMT	https://demo.hasthemes.com/brook-preview/css/bootstrap.min.css	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/css/bootstrap.min.css	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:13	39349/39349	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Aug%202019%2012:03:52%20GMT	https://demo.hasthemes.com/brook-preview/css/revoulation.css	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/css/revoulation.css	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:14	758/758	---M--	200	added ('OK')	text/css	etag:%2268b5f77c25d453ae99fc93b13b1a018e%22	https://demo.hasthemes.com/brook-preview/css/plugins.css	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/css/plugins.css	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:14	858028/858028	---MCZ	200	added ('OK')	text/css	date:Sun,%2025%20Aug%202019%2012:03:47%20GMT	https://demo.hasthemes.com/brook-preview/style.css	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/style.css	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:14	368/368	---M--	200	added ('OK')	text/css	etag:%2232345030a9c7b25fc33bccfcfafae83d%22	https://demo.hasthemes.com/brook-preview/css/custom.css	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/css/custom.css	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:15	154937/154937	---M--	200	added ('OK')	image/gif	etag:%22fb6c3afc0b4336692811c0659a0bb3ef%22	https://demo.hasthemes.com/brook-preview/img/icons/brook-preloader.gif	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/img/icons/brook-preloader.gif	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:15	194591/194591	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202019%2008:37:16%20GMT	https://demo.hasthemes.com/brook-preview/index.html	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/index.html	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:15	10680/10680	---M--	200	added ('OK')	image/png	etag:%22f05e1a691ad39d5c4e45a32abee3105d%22	https://demo.hasthemes.com/brook-preview/img/logo/brook-white.png	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/img/logo/brook-white.png	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:16	142937/142937	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202019%2008:37:02%20GMT	https://demo.hasthemes.com/brook-preview/index-creative-agency.html	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/index-creative-agency.html	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:16	212508/212508	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202019%2008:37:02%20GMT	https://demo.hasthemes.com/brook-preview/index-business.html	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/index-business.html	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:17	198434/198434	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202019%2008:37:04%20GMT	https://demo.hasthemes.com/brook-preview/index-digital-agency.html	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/index-digital-agency.html	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:18	165762/165762	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202019%2008:36:59%20GMT	https://demo.hasthemes.com/brook-preview/index-architecture.html	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/index-architecture.html	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:19	115088/115088	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202019%2008:37:08%20GMT	https://demo.hasthemes.com/brook-preview/index-minimal-agency.html	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/index-minimal-agency.html	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:19	135461/135461	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202019%2008:37:15%20GMT	https://demo.hasthemes.com/brook-preview/index-start-ups.html	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/index-start-ups.html	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:20	102268/102268	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202019%2008:37:05%20GMT	https://demo.hasthemes.com/brook-preview/index-freelancer.html	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/index-freelancer.html	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:20	141262/141262	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202019%2008:37:00%20GMT	https://demo.hasthemes.com/brook-preview/index-authentic-studio.html	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/index-authentic-studio.html	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:20	116900/116900	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202019%2008:37:12%20GMT	https://demo.hasthemes.com/brook-preview/index-revolutionary.html	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/index-revolutionary.html	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
14:35:21	113180/113180	---MCZ	200	added ('OK')	text/html	date:Sat,%2010%20Aug%202019%2008:37:03%20GMT	https://demo.hasthemes.com/brook-preview/index-creative-portfolio.html	C:/Users/pangg/Documents/Titipan/Febby/Febby%20galau/demo.hasthemes.com/brook-preview/index-creative-portfolio.html	(from https://demo.hasthemes.com/brook-preview/index-design-studio.html)
